Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income_Calculated,Income_to_Loan_Ratio,Monthly_Income,Monthly_Loan_Payment,Debt_to_Income_Ratio,Dependents_Num,Has_Coapplicant,High_Income,ApplicantIncome_Log,CoapplicantIncome_Log,LoanAmount_Log,Total_Income_Log
Male,No,0,Graduate,No,5849.0,0.0,126.5,360.0,1.0,Urban,Y,5849.0,45.87450980392157,487.4166666666667,0.35138888888888886,0.0007194449183870784,0.0,0,1,8.674196940225903,0.0,4.848116364598481,8.674196940225903
Male,Yes,1,Graduate,No,4583.0,1508.0,128.0,360.0,1.0,Rural,N,6091.0,47.21705426356589,507.5833333333333,0.35555555555555557,0.0006991097274564423,1.0,1,1,8.430327258394575,7.319202458767849,4.859812404361672,8.714731714015052
Male,Yes,0,Graduate,Yes,3000.0,0.0,66.0,360.0,1.0,Urban,Y,3000.0,44.776119402985074,250.0,0.18333333333333332,0.0007304116865869853,0.0,0,0,8.006700845440367,0.0,4.204692619390966,8.006700845440367
Male,Yes,0,Not Graduate,No,2583.0,2358.0,120.0,360.0,1.0,Urban,Y,4941.0,40.83471074380165,411.75,0.3333333333333333,0.000807591358772461,0.0,1,0,7.857093864902493,7.765993079407675,4.795790545596741,8.505525386548555
Male,No,0,Graduate,No,6000.0,0.0,141.0,360.0,1.0,Urban,Y,6000.0,42.25352112676056,500.0,0.39166666666666666,0.0007817697937458416,0.0,0,1,8.699681400989514,0.0,4.955827057601261,8.699681400989514
Male,Yes,2,Graduate,Yes,5417.0,4196.0,250.0,360.0,1.0,Urban,Y,9613.0,38.298804780876495,801.0833333333334,0.6944444444444444,0.0008658008658008657,2.0,1,1,8.59748202264504,8.34212526333359,5.5254529391317835,9.170975648453906
Male,Yes,0,Not Graduate,No,2333.0,1516.0,95.0,360.0,1.0,Urban,Y,3849.0,40.09375,320.75,0.2638888888888889,0.0008201674868341535,0.0,1,0,7.755338812846501,7.324489979348532,4.564348191467836,8.25582842728183
Male,Yes,3+,Graduate,No,3036.0,2504.0,158.0,360.0,0.0,Semiurban,N,5540.0,34.84276729559748,461.6666666666667,0.4388888888888889,0.0009486071085494716,3.0,1,1,8.01862546504575,7.826044013518965,5.0689042022202315,8.61993026886735
Male,Yes,2,Graduate,No,4006.0,1526.0,168.0,360.0,1.0,Urban,Y,5532.0,32.73372781065089,461.0,0.4666666666666667,0.00101010101010101,2.0,1,1,8.295798110636145,7.3310603052186325,5.1298987149230735,8.618485442898109
Male,Yes,1,Graduate,No,10098.25,5633.125,250.0,360.0,1.0,Semiurban,N,15731.375,62.67480079681275,1310.9479166666667,0.6944444444444444,0.0005293231809147234,1.0,1,1,9.22021644264639,8.63659713491366,5.5254529391317835,9.663475970033437
Male,Yes,2,Graduate,No,3200.0,700.0,70.0,360.0,1.0,Urban,Y,3900.0,54.929577464788736,325.0,0.19444444444444445,0.0005964553510565781,2.0,1,0,8.071218539969863,6.55250788703459,4.2626798770413155,8.268988209506656
Male,Yes,2,Graduate,No,2500.0,1840.0,109.0,360.0,1.0,Urban,Y,4340.0,39.45454545454545,361.6666666666667,0.30277777777777776,0.0008348651960784312,2.0,1,0,7.824445930877619,7.518064181233078,4.700480365792417,8.375860015299594
Male,Yes,2,Graduate,No,3073.0,5633.125,200.0,360.0,1.0,Urban,Y,8706.125,43.31405472636816,725.5104166666666,0.5555555555555556,0.0007646904198628337,2.0,1,1,8.03073492409854,8.63659713491366,5.303304908059076,9.07189693499064
Male,No,0,Graduate,No,1853.0,2840.0,114.0,360.0,1.0,Rural,N,4693.0,40.80869565217391,391.0833333333333,0.31666666666666665,0.0008076514346439958,0.0,1,0,7.5251007461258,7.951911381854188,4.74493212836325,8.454040376410969
Male,Yes,2,Graduate,No,1299.0,1086.0,17.0,120.0,1.0,Urban,Y,2385.0,132.5,198.75,0.14166666666666666,0.0007092198581560283,2.0,1,0,7.170119543449628,6.99117688712121,2.8903717578961645,7.777373602657861
Male,No,0,Graduate,No,4950.0,0.0,125.0,360.0,1.0,Urban,Y,4950.0,39.285714285714285,412.5,0.3472222222222222,0.0008397151686148058,0.0,0,0,8.507344855361422,0.0,4.836281906951478,8.507344855361422
Male,No,1,Not Graduate,No,3596.0,0.0,100.0,240.0,1.0,Urban,Y,3596.0,35.603960396039604,299.6666666666667,0.4166666666666667,0.0013858093126385808,1.0,0,0,8.187855443695623,0.0,4.61512051684126,8.187855443695623
Female,No,0,Graduate,No,3510.0,0.0,76.0,360.0,0.0,Urban,N,3510.0,45.58441558441559,292.5,0.2111111111111111,0.0007192882831724399,0.0,0,0,8.163656176168432,0.0,4.343805421853684,8.163656176168432
Male,Yes,0,Not Graduate,No,4887.0,0.0,133.0,360.0,1.0,Rural,N,4887.0,36.47014925373134,407.25,0.36944444444444446,0.0009049465877389944,0.0,0,0,8.494538500851432,0.0,4.897839799950911,8.494538500851432
Male,Yes,0,Graduate,No,2600.0,3500.0,115.0,360.0,1.0,Urban,Y,6100.0,52.58620689655172,508.3333333333333,0.3194444444444444,0.0006271815008726003,0.0,1,1,7.8636512654486515,8.160803920954665,4.7535901911063645,8.716207971151853
Male,Yes,0,Not Graduate,No,7660.0,0.0,104.0,360.0,0.0,Urban,N,7660.0,72.95238095238095,638.3333333333334,0.28888888888888886,0.0004518595759471671,0.0,0,1,8.94389780251682,0.0,4.653960350157523,8.94389780251682
Male,Yes,1,Graduate,No,5955.0,5625.0,250.0,360.0,1.0,Urban,Y,11580.0,46.135458167330675,965.0,0.6944444444444444,0.0007188865884518058,1.0,1,1,8.6921543938039,8.635153989049803,5.5254529391317835,9.357121103184378
Male,Yes,0,Not Graduate,No,2600.0,1911.0,116.0,360.0,0.0,Semiurban,N,4511.0,38.55555555555556,375.9166666666667,0.32222222222222224,0.0008548898223892697,0.0,1,0,7.8636512654486515,7.555905093611346,4.762173934797756,8.414495793177895
Male,Yes,2,Not Graduate,No,3365.0,1917.0,112.0,360.0,0.0,Rural,N,5282.0,46.743362831858406,440.1666666666667,0.3111111111111111,0.0007052008563153255,2.0,1,0,8.121480374750751,7.559038255443384,4.727387818712341,8.572249397164315
Male,Yes,1,Graduate,No,3717.0,2925.0,151.0,360.0,1.0,Semiurban,N,6642.0,43.69736842105263,553.5,0.41944444444444445,0.000756437230738403,1.0,1,1,8.220941168281389,7.98139158158007,5.0238805208462765,8.80131894766524
Male,Yes,0,Graduate,Yes,9560.0,0.0,191.0,360.0,1.0,Semiurban,Y,9560.0,49.791666666666664,796.6666666666666,0.5305555555555556,0.0006651344198356317,0.0,0,1,9.165447603085447,0.0,5.2574953720277815,9.165447603085447
Male,Yes,0,Graduate,No,2799.0,2253.0,122.0,360.0,1.0,Semiurban,Y,5052.0,41.073170731707314,421.0,0.3388888888888889,0.0008030542390731964,0.0,1,0,7.937374696163295,7.720461694599722,4.812184355372417,8.527737405291909
Male,Yes,2,Not Graduate,No,4226.0,1040.0,110.0,360.0,1.0,Urban,Y,5266.0,47.44144144144144,438.8333333333333,0.3055555555555556,0.0006947075912593155,2.0,1,0,8.34924780056679,6.947937068614969,4.709530201312334,8.569216219483389
Male,No,0,Not Graduate,No,1442.0,0.0,35.0,360.0,1.0,Urban,N,1442.0,40.05555555555556,120.16666666666667,0.09722222222222222,0.0008023842274186153,0.0,0,0,7.274479558773871,0.0,3.58351893845611,7.274479558773871
Female,No,2,Graduate,No,3750.0,2083.0,120.0,360.0,1.0,Semiurban,Y,5833.0,48.20661157024794,486.0833333333333,0.3333333333333333,0.0006843455945252352,2.0,1,1,8.229777750081887,7.642044402873258,4.795790545596741,8.671458150427666
Male,Yes,1,Graduate,No,4166.0,3369.0,201.0,360.0,1.0,Urban,N,7535.0,37.301980198019805,627.9166666666666,0.5583333333333333,0.0008877699748244336,1.0,1,1,8.334951631422454,8.122668023346407,5.308267697401205,8.927446816256198
Male,No,0,Graduate,No,3167.0,0.0,74.0,360.0,1.0,Urban,N,3167.0,42.22666666666667,263.9166666666667,0.20555555555555555,0.0007759253433993917,0.0,0,0,8.060855752934316,0.0,4.31748811353631,8.060855752934316
Male,No,1,Graduate,Yes,4692.0,0.0,106.0,360.0,1.0,Rural,N,4692.0,43.850467289719624,391.0,0.29444444444444445,0.0007511337868480726,1.0,0,0,8.453827315794417,0.0,4.672828834461906,8.453827315794417
Male,Yes,0,Graduate,No,3500.0,1667.0,114.0,360.0,1.0,Semiurban,Y,5167.0,44.93043478260869,430.5833333333333,0.31666666666666665,0.0007337323807684881,0.0,1,0,8.160803920954665,7.419380582918692,4.74493212836325,8.550241045462437
Male,No,3+,Graduate,No,10098.25,3000.0,250.0,360.0,1.0,Rural,N,13098.25,52.18426294820717,1091.5208333333333,0.6944444444444444,0.000635634967550835,3.0,1,1,9.22021644264639,8.006700845440367,5.5254529391317835,9.480310255641893
Male,Yes,0,Graduate,No,2275.0,2067.0,126.5,360.0,1.0,Urban,Y,4342.0,34.05490196078431,361.8333333333333,0.35138888888888886,0.0009684581227989588,0.0,1,0,7.730174795246222,7.63433723562832,4.848116364598481,8.376320632534823
Male,Yes,0,Graduate,No,1828.0,1330.0,100.0,360.0,0.0,Urban,N,3158.0,31.26732673267327,263.1666666666667,0.2777777777777778,0.0010515247108307045,0.0,1,0,7.511524648390866,7.193685818395112,4.61512051684126,8.058010800802085
Female,Yes,0,Graduate,No,3667.0,1459.0,144.0,360.0,1.0,Semiurban,Y,5126.0,35.351724137931036,427.1666666666667,0.4,0.0009342156481121059,0.0,1,0,8.207401833376355,7.286191714702382,4.976733742420574,8.5422759717837
Male,No,0,Graduate,No,4166.0,5633.125,184.0,360.0,1.0,Urban,Y,9799.125,52.96824324324324,816.59375,0.5111111111111111,0.0006251406778869225,0.0,1,1,8.334951631422454,8.63659713491366,5.220355825078324,9.190150419679359
Male,No,0,Not Graduate,No,3748.0,1668.0,110.0,360.0,1.0,Semiurban,Y,5416.0,48.792792792792795,451.3333333333333,0.3055555555555556,0.0006755097027757309,0.0,1,1,8.229244416735913,7.419979923661835,4.709530201312334,8.597297435657898
Male,No,0,Graduate,No,3600.0,0.0,80.0,360.0,1.0,Urban,N,3600.0,44.44444444444444,300.0,0.2222222222222222,0.0007382798080472499,0.0,0,0,8.188966863648876,0.0,4.394449154672439,8.188966863648876
Male,No,0,Graduate,No,1800.0,1213.0,47.0,360.0,1.0,Urban,Y,3013.0,62.770833333333336,251.08333333333334,0.13055555555555556,0.0005179063360881543,0.0,1,0,7.496097345175956,7.101675971619444,3.871201010907891,8.01102337918644
Male,Yes,0,Graduate,No,2400.0,0.0,75.0,360.0,1.0,Urban,Y,2400.0,31.57894736842105,200.0,0.20833333333333334,0.0010364842454394694,0.0,0,0,7.783640596221253,0.0,4.330733340286331,7.783640596221253
Male,Yes,0,Graduate,No,3941.0,2336.0,134.0,360.0,1.0,Semiurban,Y,6277.0,46.49629629629629,523.0833333333334,0.37222222222222223,0.0007102348015052737,0.0,1,1,8.279443487712665,7.756623334538858,4.90527477843843,8.744806737401898
Male,Yes,0,Not Graduate,Yes,4695.0,0.0,96.0,360.0,1.0,Urban,Y,4695.0,48.402061855670105,391.25,0.26666666666666666,0.0006798385383471426,0.0,0,0,8.454466361507933,0.0,4.574710978503383,8.454466361507933
Female,No,0,Graduate,No,3410.0,0.0,88.0,360.0,1.0,Urban,Y,3410.0,38.31460674157304,284.1666666666667,0.24444444444444444,0.0008571985193843756,0.0,0,0,8.134760782418645,0.0,4.48863636973214,8.134760782418645
Male,Yes,1,Graduate,No,5649.0,0.0,44.0,360.0,1.0,Urban,Y,5649.0,125.53333333333333,470.75,0.12222222222222222,0.00025908261202378847,1.0,0,1,8.639410824140487,0.0,3.8066624897703196,8.639410824140487
